Positive Dwell Time,Negative Dwell Time
0.45,4.88
1.5499999999999998,1.5300000000000002
0.8399999999999999,0.7900000000000009
2.8999999999999986,0.7600000000000016
1.5699999999999985,0.7800000000000011
2.91,1.5899999999999999
2.2399999999999984,0.7600000000000016
2.370000000000001,3.599999999999998
1.5300000000000011,0.7699999999999996
1.5300000000000011,0.759999999999998
1.6300000000000026,2.8900000000000006
0.769999999999996,1.6200000000000045
2.8999999999999986,0.759999999999998
1.6000000000000014,3.030000000000001
2.9200000000000017,0.769999999999996
2.25,0.7899999999999991
2.9100000000000037,1.5799999999999983
2.219999999999999,0.7899999999999991
0.7700000000000031,0.8100000000000023
0.769999999999996,2.25
1.5300000000000011,0.769999999999996
0.7999999999999972,0.7700000000000102
1.5300000000000011,0.769999999999996
1.519999999999996,0.7999999999999972
0.7700000000000102,1.519999999999996
0.7999999999999972,0.769999999999996
1.5200000000000102,0.7800000000000011
0.7800000000000011,0.7800000000000011
0.769999999999996,0.789999999999992
0.7700000000000102,1.539999999999992
1.5300000000000011,1.6700000000000017
3.5600000000000023,0.769999999999996
